,log2FoldChange,padj,number
MGST1,-0.7482481915309922,0.0013270458136505757,4257.1
MGST3,-0.9282730210282049,4.048638873252825e-08,4259.1
MPO,1.6868545743255567,0.00011738164601180595,4353.1
MPST,-0.7343758778085926,5.111079109580664e-06,4357.1
NAGA,-0.5921186747945747,2.3608588326331013e-05,4668.1
NDUFA5,-0.6554168956261704,2.1832737378607667e-05,4698.1
NDUFAB1,-0.7276614238903213,0.02215393823223948,4706.1
NNMT,0.9756008405454807,5.40365439754142e-05,4837.1
NOS2,1.0064919263196845,0.0002468351137299594,4843.1
OGDH,-1.0181561124789102,2.0635144192802926e-06,4967.2
OTC,-0.6692236346796646,0.0026264031300846924,5009.1
P4HB,0.6602532362852563,1.2151841765693106e-07,5034.1
PADI2,-1.3441609433452943,9.942124636475868e-08,11240.1
PADI4,1.2687457760856085,0.0008576538312241113,23569.1
PAPSS2,-0.7625708905526389,2.5821579523443254e-05,9060.1
PCCA,-0.6369298730043625,3.755027658463908e-07,5095.1
PCCB,-0.7925518917378406,8.963678987102776e-08,5096.1
PCK1,-1.182664900997493,2.3461618648534213e-08,5105.1
PCK2,-0.8434040476573387,1.4458474944053835e-07,5106.1
PDIA6,0.6255604021965365,1.1445659303175527e-05,10130.1
PECR,-0.5501143360679486,5.384505433950924e-05,55825.1
PHYH,-0.6579823829370893,0.02295590676981342,5264.1
PLA2G1B,-1.4244243288844336,0.06676141400435884,5319.1
PLA2G7,0.7197441969863982,0.11448631302872203,7941.1
PLCD1,-0.6909705347319842,0.0035854187701327657,5333.1
PLCG2,0.6844507248548867,6.457199119606576e-07,5336.1
PLCH1,0.8687894727040709,7.88605217002831e-07,23007.1
PNLIP,-1.297062366052994,0.005124153184001458,5406.1
PRKCB,0.6932839901811411,8.66407758882003e-05,5579.1
PTP4A1,-0.7261666628009588,0.0019176400300188543,7803.1
PTPN1,0.6034162673598199,4.800862796147645e-07,5770.1
PTPN6,0.6405931658370697,6.312270673368443e-05,5777.1
PTPRC,0.746794301090551,3.926017153186727e-05,5788.1
RDH13,-0.5998140435019814,0.00015922217564532209,112724.1
RPL14,1.669507583724676,0.19764159792676636,9045.1
SCARF2,-0.7352233900282819,0.09548367390347963,91179.1
SCP2,-0.6244945317623493,1.0412536969348182e-05,6342.1
SDHB,-0.6791364296197168,1.137036669070771e-05,6390.1
SDHD,-0.7713031935296273,0.000612543866092281,6392.1
SIAE,-1.3234437205230758,1.9833664950805365e-07,54414.1
SLC16A1,-1.0072315692310758,0.00017801726820321025,6566.1
SLC25A5,-0.6101072420587362,9.159901862888887e-05,292.1
SLC26A2,-2.0324477087497677,9.021998177197196e-09,1836.1
SLC38A5,1.1820693255257428,0.00039147065525165035,92745.1
SLC3A2,0.5691313455160029,2.407070764826369e-06,6520.1
SLC4A2,0.9434562894672776,0.023938912642419007,6522.1
SLC7A5,1.0286186555890522,0.0005902998085761487,8140.1
SOD2,0.8905322984769257,0.0007554779217805992,6648.1
SPCS1,0.7062255154428372,6.727512522252565e-05,28972.1
SPCS2,0.7737094449444206,2.2374245836560157e-05,9789.1
SPCS3,0.7344906932696382,1.3264755533271422e-05,60559.1
SRM,0.7517636265903765,1.7622312185339296e-08,6723.1
ST6GAL1,0.7060398091069624,6.134051521388656e-05,6480.2
STS,0.5992606561295187,0.001864541687601027,412.1
SUCLG1,-0.8585750569345204,7.729124923550346e-07,8802.1
SUCLG2,-1.0497645261823105,1.071983379107243e-06,8801.1
SULT1B1,-1.0811802588481039,6.965682908032313e-07,27284.1
TST,-0.965927997771131,8.161236186603236e-07,7263.1
TXN,-0.7463253179269137,4.862295045177894e-06,7295.1
UBE2J1,0.6107756433921627,0.00017037306931250802,51465.1
UBE2L6,0.9221064875063311,1.1394099696798093e-06,9246.1
UGDH,-1.261313431906031,9.025876791910923e-07,7358.1
UGP2,-0.7594878289123781,2.1773868496439215e-05,7360.2
UGT2A3,-1.531055989163568,3.22584732108269e-07,79799.1
UQCRB,-0.6326468283544214,4.106312668913687e-05,7381.1
VNN2,0.779873234407684,0.0790653937452226,8875.1
WARS,0.8065220405507878,0.0001001922217071347,7453.1
