	HEK25a51ko_1_wtHEK293_1	HEK25a51ko_1_wtHEK293_2	HEK25a51ko_1_wtHEK293_3	HEK25a51ko_2_wtHEK293_1	HEK25a51ko_2_wtHEK293_2	HEK25a51ko_2_wtHEK293_3	HEK25a51ko_3_wtHEK293_1	HEK25a51ko_3_wtHEK293_2	HEK25a51ko_3_wtHEK293_3
so4[r]	1.0060056044745211	1.0025982240013942	1.0032837551384026	1.0030902505209822	1.0000854184964574	1.0006350168517297	1.002875622917713	0.999603027325639	1.0002442777953113
estrones[r]	0.9982039791450981	0.9998183202606712	0.9992890805145829	0.991011584774252	0.9933352554530841	0.9925729498956848	0.9917072699930569	0.9938041930603411	0.993292002549247
succ[e]	1.1162643859611396	1.1162918452995183	1.1179202940936317	1.0558724013468486	1.0560129446087188	1.057540965089793	1.0586493954282499	1.0589165567911145	1.0600515515249822
sucr[e]	1.000546025968256	1.0005831410420032	1.0004802787060953	1.0004808194420276	1.000566797735166	1.0004141035292442	1.000243061682015	1.000277991418879	1.0001763578660468
t2m26dcoa[m]	1.0120694255747944	1.0120989921024357	1.0120052536734554	1.0004472222563348	1.0005236326541707	1.0003785574634263	1.0002014433313648	1.0002275372265743	1.0001329325912747
t2m26dcoa[x]	1.0123611260488066	1.0122590363516288	1.012067361218756	1.0009356684461068	1.0008427663981208	1.000580591301251	1.0009104185443658	1.0008278889310505	1.0006169477234796
T4hcinnm[c]	0.9888702613253061	0.9889171620491616	0.9889920039197255	0.9945618073159919	0.9946142366872366	0.994611334313967	0.9948235317312426	0.994903875338637	0.9948578525152607
34dhcinm[c]	0.9973265750782003	0.99738296385203	0.9972963687021336	0.9991042400023611	0.9992074315747014	0.9990597705286569	0.9989804240965268	0.9990458924128094	0.9989340584304381
taur[e]	1.044617100105952	1.0539202247074975	1.0641874347299252	1.0730738733542442	1.083364899766033	1.0947935276129162	1.038595294204774	1.0479357055298357	1.0577786511391014
tchola[c]	1.0060097390907194	0.9947856759872487	0.9947062672159015	1.041848542937306	1.0265329800774234	1.0263635187560671	1.0375433559595746	1.0230336595596072	1.0230860336234242
tcynt[m]	0.993999394529011	0.9927148022583161	1.0020320840491272	1.0110408404094424	1.0088821281659868	1.0193205384642408	1.0143417562013952	1.0122568478358063	1.0226178271600186
tdchola[c]	0.9914610151481403	0.9907715937068596	0.9898758614382736	0.9954826987004891	0.9949599805795308	0.9937200326421957	0.9959039474623362	0.9954769646710917	0.994429508281828
tdchola[x]	1.006880946880572	1.0080890531149895	1.0082810848807893	1.0071329887739844	1.008461185375764	1.0086222531742934	1.0049866281958215	1.006288400476672	1.006402014624341
