	HEK25a51ko_1_wtHEK293_1	HEK25a51ko_1_wtHEK293_2	HEK25a51ko_1_wtHEK293_3	HEK25a51ko_2_wtHEK293_1	HEK25a51ko_2_wtHEK293_2	HEK25a51ko_2_wtHEK293_3	HEK25a51ko_3_wtHEK293_1	HEK25a51ko_3_wtHEK293_2	HEK25a51ko_3_wtHEK293_3
egme[e]	0.9954550957366748	0.9972855759614806	0.9942583045414177	0.9997485093740525	1.0017639398101685	0.9984492956774768	0.9979643661224542	0.9994478552598639	0.996654744424339
12harachd[c]	0.9953744003355657	1.0024492918844674	0.9927408580422908	1.0092858713897677	1.0179405363625456	1.0105964971876715	1.0129238613548446	1.020257190141757	1.0093378349266489
12harachd[e]	0.9987047825747368	1.0008129480852888	0.9973058561236159	1.0032335981817164	1.0067424341292528	1.002423811070581	1.0049177753273901	1.005397570359799	1.0031459542379157
18harachd[c]	0.9953744003355657	1.0024492918844674	0.9927408580422908	1.0092858713897677	1.0179405363625456	1.0105964971876715	1.0129238613548446	1.020257190141757	1.0093378349266489
18harachd[e]	0.9987047825747368	1.0008129480852888	0.9973058561236159	1.0032335981817164	1.0067424341292528	1.002423811070581	1.0049177753273901	1.005397570359799	1.0031459542379157
sql[c]	0.9809965808146756	0.9736916897835611	0.9792766738975269	0.9858686989659319	0.9769353121845931	0.9849943952359328	0.996535343316346	0.9865334825784982	0.9932708794476801
sql[e]	1.0066630989941454	0.999447953383923	1.003841584712302	1.0397491893827198	1.0312501698626388	1.036739541363912	1.0458860477639669	1.0366647231458426	1.0421296927548827
orn_D[c]	0.9905131950835305	0.995289079288785	0.9954390386408608	0.9986234313308836	0.9975384041910358	1.0012817856488796	1.0001607792952334	0.9991403025834568	1.0015942296764806
orn_D[e]	0.9944091815667614	0.9990848559633415	0.9960623899535985	0.9998810605583911	1.000247557810734	1.0007694428425618	1.0016864765697555	1.0020776949578758	1.001653336482546
5g2oxpt[c]	1.0007269820535147	1.001773679976404	1.0008536708132667	1.0007746852218984	1.0023470792966684	1.0013230451596984	0.9991246357992563	1.0005084448766683	0.9997070431453536
5g2oxpt[e]	1.000377592404351	1.0014945440018168	1.000556401227343	1.000682697731821	1.0021710310362433	1.001123530186751	0.9992414897944049	1.0005234133394572	0.9997192661047148
dhea[e]	0.9785309240165625	0.9722935092194036	0.9884074463661967	0.9835102253695769	0.9760544980136837	0.9850027328525223	0.9934665425308085	0.9959186821861709	1.0190272218875103
estrone[e]	1.005517692919126	1.01512617542827	1.0091717204865118	1.0110371313195712	1.0215303122213875	1.0110677866119218	1.0083876595935393	1.0143224869227854	1.0088962151274328
C05298[e]	0.9987606368873047	1.0020705758766328	0.99501446619414	1.001567604103648	1.0060257366458958	0.9969935127016664	1.0042910427734963	1.0051023668348862	1.0009730877519318
HC02020[c]	1.0209348491092343	1.0185217134086375	0.9979519488618296	1.0573616712217964	1.055153815483572	1.0296231120531838	1.0488806031560924	1.0484283367350828	1.0219226250126252
