fullName	ko1_wt1	ko1_wt2	ko1_wt3	ko1_wt4	ko1_wt5	ko2_wt1	ko2_wt2	ko2_wt3	ko2_wt4	ko2_wt5	ko3_wt1	ko3_wt2	ko3_wt3	ko3_wt4	ko3_wt5	ko4_wt1	ko4_wt2	ko4_wt3	ko4_wt4	ko4_wt5	ko5_wt1	ko5_wt2	ko5_wt3	ko5_wt4	ko5_wt5
Fructose 6-phosphate	1.2731219732071886	1.9099780908332513	1.2372262217439087	1.4587985979820528	1.1363786274006384	1.12510487056688	1.6879181240262864	1.0933824703146444	1.289194156025015	1.00425972954949	1.2326190887883426	1.849214374957178	1.1978653186145556	1.4123886292218748	1.1002260723664128	1.3597984079655339	2.04001283602183	1.3214588091527568	1.5581162314567358	1.2137453291240716	1.7616206690218184	2.6428393767445573	1.7119516671205421	2.0185416764674873	1.572408708664887
Fumaric acid	5.320903730619114	5.677159131899159	4.326614894627276	5.096398343667629	3.9814267189572385	5.8783355311459236	6.271913180644849	4.7798823944731295	5.630310372288741	4.39853140210392	5.246098891663285	5.597345815197991	4.265788436040171	5.024749752252792	3.9254531476234504	5.516822975374797	5.886195939514939	4.485923757448112	5.284051149471973	4.128025521589107	5.095775194584581	5.436957356241243	4.1435549246436985	4.880768676933325	3.8129717319952166
Glucose 1-phosphate	1.1555527775677639	1.4959567138557741	1.0594460680251028	1.1695401563662684	1.072148707798444	1.140409259812042	1.4763522029257334	1.045562028581974	1.1542133340282696	1.0580982002764128	0.853574816798388	1.1050217720521902	0.7825834535448283	0.8639069059311346	0.7919665415593866	1.2222229799760724	1.5822666936705938	1.120571345179982	1.2370173676743528	1.1340068701847454	1.3356172069973478	1.7290647097525682	1.2245346346865844	1.3517841741551737	1.2392166678960703
Glucose 6-phosphate	0.49835738813168506	1.104696590462941	0.6421722608444186	0.5044985336294643	0.43601023148955315	0.5987654108482431	1.327268589979075	0.7715558086564396	0.606143861724314	0.5238566771742045	0.552777760131884	1.22532889336854	0.7122971434199079	0.5595895155783778	0.4836223258592357	0.7896979743329375	1.7505041171589333	1.017587268973404	0.7994292440505617	0.6909025626901185	0.8421606043433745	1.8667967414471367	1.085189448706203	0.8525383591974949	0.7368018389929254
Glycine	0.646200521654133	0.8407937622238393	0.5724749037523608	0.8549027329531087	0.6996597346040693	0.83442054381764	1.0856933177915338	0.7392207287116181	1.103911834543096	0.9034509206851229	0.7139101795450997	0.9288931309017027	0.6324595038653629	0.9444804563355258	0.7729709122999023	0.7034497724030269	0.915282734777504	0.6231925342929151	0.9306416704573139	0.7616451311536122	0.49430520015737683	0.6431575261859287	0.4379094606114295	0.6539500547689973	0.5351983379249408
Isocitric acid	0.8280599610054881	0.7419339324673948	0.525839400114191	0.7846803513976252	0.6137331925486403	0.7928669662105406	0.7104013403205481	0.5034909421006845	0.7513310133993216	0.5876492009683403	0.9314241474381447	0.8345472707854948	0.5914783204177888	0.8826295941474134	0.6903436255147222	0.7832167441074048	0.7017548321311298	0.49736280254480025	0.7421863378594502	0.5804967459541294	0.8247890474721783	0.7390032247230154	0.5237622857853054	0.781580791339689	0.6113088895997197
L-Alanine	1.0727339972642453	1.1364934506555118	0.795978100143081	1.171753624444024	1.073059308719822	1.0393908827074227	1.1011685412045897	0.7712372146621719	1.1353327452401882	1.0397060827121107	0.993223655856393	1.052257300314554	0.7369807245989553	1.0849040131116416	0.9935248554399094	1.0468894290734696	1.1091127742168578	0.7768012022914467	1.1435234513284493	1.0472069030463915	0.9559770171412292	1.0127968552585849	0.7093433897174087	1.0442192916204296	0.9562669215124313
L-Arginine	1.172454057423662	1.2998103367210678	0.8254033270560714	1.0964145060704706	1.0982331816424975	0.9924586781680274	1.1002631962279013	0.6986872447058737	0.9280927338082914	0.9296322059460709	1.3089691533627477	1.451154205332862	0.9215094505054644	1.2240759104022654	1.226106344097031	1.065327800349145	1.1810476309262938	0.7499868376469525	0.9962359263693362	0.9978884309041012	0.897314886757896	0.9947845356640318	0.6317063668783734	0.8391194965167286	0.840511384458631
L-Aspartic acid	2.0290886612176515	2.2131076886303047	1.3450964874046516	2.0184989255609573	2.049397643424832	1.9678935536099083	2.1463627672565964	1.3045298399915568	1.957623192865427	1.9875900389975427	1.9152368228874255	2.0889305722779254	1.2696233399027335	1.9052412755946946	1.9344062713703791	2.066410286714876	2.2538140303090968	1.3698372433509312	2.0556257709306065	2.0870928180146384	1.801912481485662	1.9653287918043683	1.1944998736538592	1.7925083695707196	1.8199476759179387
L-Glutamic acid	0.5310190679766239	0.5595144420142051	0.4021526501416065	0.5518951009052169	0.5040333134642486	0.4976618530519841	0.5243672229758686	0.37689048312677237	0.5172265087454312	0.47237127234307097	0.49281604638402654	0.5192613821926703	0.37322064505293734	0.5121901981470756	0.4677717237796561	0.5076007458478966	0.5348394534329277	0.3844174295556066	0.5275561307369483	0.4818050824832188	0.48382126339093223	0.5097839240543091	0.3664086941527471	0.5028418018898383	0.45923404491027736
L-Glutamine	1.0562248624373338	1.1060906354898763	0.6253631952170144	1.02192183336706	0.9827036374571531	1.1753046860307168	1.2307923750877188	0.6958672532226123	1.137134299927225	1.0934946062693613	1.0072002977142007	1.054751556210778	0.5963370289813178	0.9744894400921301	0.9370915525768514	1.1126827923157894	1.1652140189269982	0.6587904631026195	1.0765461782971373	1.0352316691556598	1.0560795293359913	1.105938441020556	0.6252771472779263	1.0217812202508054	0.9825684206369366
