vmh,A,C,p,padj,fc
GLU_L,0.6095165023888889,0.3187517108571429,0.00015702218741783458,0.0023479629871516173,1.9121983714216362
GSN,0.0040644022222222215,0.005955025785714286,0.15429970067620746,0.2712426317150173,0.682516309496502
HC00342,0.006925802944444444,0.012527695642857144,0.3327124107582685,0.4789911430744038,0.5528393362903332
HDCA,0.0005601946666666667,0.000687916642857143,0.13348987138426605,0.2449759178150817,0.8143350978397541
HDCEA,0.00044583294444444454,0.00042649535714285716,0.5817643034169409,0.693961704790208,1.0453406748226572
HXAN,0.2308568181666667,0.14040378592857142,1.3645118643989224e-05,0.0013539070566235436,1.6442349943762349
INOST,1.961238919055556,2.384508051142857,0.0654221209011591,0.14375650250649435,0.8224920516060179
INS,0.1356587084444444,0.12258558957142858,0.4588488288054237,0.589444264696198,1.10664482602499
IVCRN,0.0033346464444444445,0.001792939071428571,0.03500758392339715,0.09584043467552993,1.8598771690481806
LEUGLY,0.0001082085,0.000204175,0.011105949995920357,0.04814947077477681,0.5299791845230807
LEU_L,0.04048782733333334,0.046103499142857135,0.4140899083716224,0.5488334499846107,0.8781942387469772
LNLC,0.0014194722777777775,0.0027015520000000003,1.6214455767946635e-05,0.0013539070566235436,0.5254284491943066
LNLCCRN,0.0018343705555555559,0.0015857447142857144,0.14360586966336078,0.2551295769551197,1.1567880624352784
LNLNCA,0.0002680431666666667,0.0003850447857142858,0.0058863266778423975,0.031710211458054215,0.6961350383421693
LNLNCACRN,9.246127777777776e-05,5.986335714285713e-05,0.03842577520056924,0.10185880092849306,1.5445387995385789
LYS_L,0.000433596888888889,0.00047871664285714275,0.6349040599748633,0.7312343311434633,0.9057485160763081
Lkynr,0.004118383611111111,0.0014430170714285714,8.436838033074951e-05,0.0020127885021764525,2.8540089321562605
M00019,4.5670331630000005,4.6522934253571435,0.8345046614888972,0.8764923174128669,0.9816734985174334
M02457,0.0006780004444444446,0.0007403500000000001,0.4822072684927418,0.6147222430403655,0.9157836758890315
M02973,0.0018806025,0.001160523142857143,0.09094854576136163,0.182992857134306,1.6204782399858586
MAL_L,0.11308066777777777,0.09601945071428572,0.3327124107582685,0.4789911430744038,1.1776850100325942
NACASP,0.09022644216666667,0.05598724635714286,0.012841344139911613,0.05105963027060093,1.6115534882910985
NCAM,0.39286047727777773,0.2234377550714286,0.004130652963724701,0.024636394462215185,1.7582546743373253
OCDCEA,0.0016369892777777775,0.0026105842142857137,0.00015702218741783458,0.0023479629871516173,0.6270585981558449
ODECRN,0.01199556377777778,0.009430743857142859,0.17748685678266374,0.3055701554918025,1.2719636923117494
ORN,0.0578480941111111,0.0336750425,0.011532807371204028,0.04814947077477681,1.7178328464206423
PCHOLHEP_HS,0.002726454944444444,0.005883253428571428,0.000182775561874078,0.0023479629871516173,0.4634263979184868
PCHOLMYR_HS,0.03155013388888889,0.052842634999999985,0.02626768219654324,0.07563280908315036,0.5970583012919188
PCHOLSTE_HS,0.03235703238888889,0.04609866421428571,0.011532807371204028,0.04814947077477681,0.7019082426874667
PCRN,0.023805853999999998,0.017057339142857144,0.07733062015390461,0.16347105779369708,1.3956370217314247
PHE_L,0.058548088666666664,0.06330675399999999,0.8942297554732623,0.9161740439511338,0.9248316327617535
PMTCRN,0.013473718388888887,0.011952424571428573,0.5308013766975783,0.6377253950251479,1.127279097924354
PTDCA,0.02596227355555555,0.03033249478571428,0.7181927744281571,0.7942926710563062,0.8559227897002071
QULN,0.05115072033333334,0.010238999857142857,0.010343987056374987,0.04798460662262842,4.995675461177973
SQL,0.003409784111111111,0.003710269071428571,0.24661959758172736,0.3849109607116679,0.9190126229304001
SRB_L,0.004569019833333334,0.001931318142857143,0.0005864374610705298,0.005440836444376582,2.36575203843632
SUCC,0.11033057227777776,0.1650849585714286,0.0654221209011591,0.14375650250649435,0.6683260136630811
SUCR,0.010637549888888886,0.0089274365,0.26245291208803223,0.4058299659139017,1.1915570487551366
THR_L,0.449354583,0.3509169608571429,0.04611817746898452,0.11848824057416026,1.2805154299251176
TMNDNC,0.006528165222222222,0.014461462357142857,0.000674292736729301,0.005630344351689663,0.45141805586471745
TRP_L,0.005046425777777779,0.007882883285714286,0.004654495156774402,0.025910023039377502,0.6401751230952687
TYR_L,0.018859455666666664,0.018940877785714284,0.8642702641586779,0.896479093878877,0.9957012489089059
URA,0.015210338222222222,0.017102279571428573,0.4140899083716224,0.5488334499846107,0.8893749022576459
acgam,0.7954300157777777,0.9566817437142856,0.0654221209011591,0.14375650250649435,0.8314468432203448
ahcys,0.002496286833333334,0.001774027,0.02155012662025005,0.07197742291163517,1.407130124475746
ala_B,0.0012402371666666663,0.0016394879285714285,0.1655880716906476,0.2880542497118557,0.7564783766034494
c4crn,0.012422201833333334,0.008108194821428574,0.020697877604100353,0.06806061821484533,1.5320551746615136
c51crn,0.00027195072222222215,0.00016475992857142857,0.009265487693377959,0.04420961270840342,1.6505877647569083
c5dc,0.00013944950000000002,0.0003391716428571429,0.02155012662025005,0.07197742291163517,0.41114728467655337
c6crn,0.0008346147222222223,0.0004251245714285714,0.02626768219654324,0.07563280908315036,1.9632239073305426
c81crn,0.00018360250000000006,0.0001876069285714286,0.8345046614888972,0.8764923174128669,0.9786552202420183
celb,0.1447480328333333,0.21482252092857146,0.39271485645527016,0.5375686969510666,0.6738028778717388
cit,0.2039391415555556,0.17298081992857142,0.14360586966336078,0.2551295769551197,1.1789696779086127
citr_L,0.0003164735,0.0002158444285714286,0.02626768219654324,0.07563280908315036,1.4662111136923353
clpnd,0.0014303679444444446,0.000980660785714286,0.07733062015390461,0.16347105779369708,1.458575651521137
creat,0.048996236500000005,0.06404925528571427,0.09844725842532087,0.19341990772974807,0.7649774580740248
crtn,0.0018278313333333328,0.001985304785714285,0.9848463470368832,0.9848463470368832,0.9206804650277939
glc1man,0.13505815783333336,0.20160201778571427,0.4140899083716224,0.5488334499846107,0.6699246332786641
glc_D,0.10038432638888888,0.15585413550000002,0.11492106431840515,0.22059560622038693,0.6440915158705485
gluleu,0.0010465386111111112,0.0008206132142857143,0.04611817746898452,0.11848824057416026,1.275312891496695
glyc3p,0.2880799491111111,0.6169685980714286,0.0025281201386623173,0.016887842526264282,0.4669280576217578
hdcecrn,0.0007523008888888889,0.0005137530714285714,0.17523968351381336,0.2967054866596621,1.4643238760539137
hpdca,0.3828138949444445,0.3535737665000001,0.8049743306144369,0.8617353411064805,1.0826988063449678
icit,0.19520876422222225,0.1576743524285714,0.09094854576136163,0.182992857134306,1.2380502042058772
ile_L,0.039117348,0.04454161500000002,0.4361384231848525,0.5735048556840187,0.878220244146962
ileasp,0.0006255111666666666,0.00046071314285714285,0.09094854576136163,0.182992857134306,1.3577020242737552
ivcrn,0.0013519219999999998,0.0006311434285714285,0.012841344139911613,0.05105963027060093,2.142020242625403
leugly,0.00039420194444444437,0.00028228514285714285,0.014279576416245018,0.05184107090245474,1.3964672049493576
malt,0.023267029222222218,0.034444370500000016,0.35202013188593306,0.4981979832622951,0.6754958469112451
met_L,0.0044310006111111105,0.005001410214285714,0.7757196518444691,0.8412024795975735,0.885950246283474
ocdca,0.002639247833333333,0.0023837411428571428,0.03185243848180111,0.08865595377434643,1.1071872637017712
ocdcea,0.03872066372222222,0.09317428735714288,0.3720225737382422,0.5177314151190537,0.4155724161731819
ocdcya,0.3168438673333333,0.3948473089285715,0.21698949564336067,0.3484350555042426,0.8024465664793244
pcholeic_hs,0.0010743598333333335,0.0008389612857142857,0.3327124107582685,0.4789911430744038,1.2805833256282275
pchollinl_hs,0.005415982000000001,0.009453410571428572,0.00021246181919483477,0.0025343659861098147,0.5729130200235821
pcholn15_hs,0.0008829156666666666,0.0012934605714285715,0.03185243848180111,0.08865595377434643,0.6825995984489301
pcholn183_hs,0.00027859922222222216,0.00042389214285714304,0.02380771805731315,0.07362757251057955,0.6572408262733797
pcholn201_hs,0.0011237428888888888,0.0015735977857142854,0.10621989472129682,0.18842886709988316,0.7141233287760385
pcholn203_hs,0.0011317566111111114,0.0007944762857142858,0.008288482312055697,0.041944743821615185,1.4245316461442128
pcholn204_hs,0.008393493833333335,0.004884151285714285,0.00013471287295042217,0.0023479629871516173,1.718516348558565
pcholn205_hs,0.0004348786666666666,0.0006795062857142857,0.07733062015390461,0.16347105779369708,0.6399921175262262
pcholn225_hs,0.0006753041666666666,0.0005547899285714286,0.09094854576136163,0.182992857134306,1.2172249925400762
pcholn226_hs,0.001230617,0.0017304283571428574,0.01948124657885219,0.06777850372225658,0.7111632185870409
pcholpalm_hs,0.06737332822222222,0.10266460321428572,0.00015702218741783458,0.0023479629871516173,0.6562469060694452
pcholpalme_hs,0.002472910888888889,0.003301205214285715,0.2031743017492157,0.3326481214913629,0.7490933548110111
pe160,0.00018189866666666664,0.0003649150714285714,0.0003826472909157805,0.004260139838862357,0.49846849557232265
pe17_hs,0.0005320278333333332,0.0006482676428571427,0.3141021522382338,0.4725681029169824,0.82069163746705
pe203_hs,0.0015481966111111113,0.002272388142857142,0.0602452472136945,0.14050823915533966,0.6813081717476827
pear_hs,0.019691038888888887,0.014173522071428569,0.02380771805731315,0.07362757251057955,1.389283396861723
pect,0.03710451305555555,0.03387867671428572,0.4140899083716224,0.5488334499846107,1.095217306404107
pepalm_hs,0.006939989277777778,0.012370647785714286,0.0011626975394483628,0.008825931322176208,0.5610045163352018
pheacgln,8.259105555555557e-05,5.8829214285714283e-05,0.879217410324552,0.906353750149384,1.4039122663518466
pheleu,0.0002388788823529412,0.00032134785714285706,0.9545608973397476,0.9603112641911921,0.743365412412712
phephe,7.681511764705883e-05,9.326818181818182e-05,0.6482025747527356,0.741437191669225,0.8235940290634506
pphn,0.0014809667222222224,0.0007322680714285714,0.0005093365626079897,0.005003482703266723,2.022437929504458
pro_L,0.0050649427222222215,0.0049550440000000005,0.23146793933412624,0.3646711874415008,1.0221791617233311
rib_D,0.06290659238888888,0.041810233642857145,0.014279576416245018,0.05184107090245474,1.5045740458242054
stcrn,0.006847533499999999,0.005971194642857143,0.3327124107582685,0.4789911430744038,1.146761060316657
subeac,0.003973967499999999,0.004625605571428571,0.6080754234799437,0.7202028065329829,0.8591237273982875
tetdece1crn,0.0005996630000000001,0.00038147792857142854,0.14360586966336078,0.2551295769551197,1.5719467761755925
thr_L,0.13064378116666664,0.10313297307142856,0.0654221209011591,0.14375650250649435,1.2667508486949606
ttdca,0.00015886899999999996,0.00017618135714285712,0.3327124107582685,0.4789911430744038,0.9017355898285004
val_L,0.012045516055555552,0.0077886350714285735,0.02380771805731315,0.07362757251057955,1.5465503191621728
whddcca,0.005718418444444446,0.0051596495,0.5308013766975783,0.6377253950251479,1.1082959112715787
whhdca,0.005453123861111112,0.005968224535714287,0.5468764443901435,0.6603392979198306,0.913692812406642
whttdca,0.0007051820555555555,0.0007203012857142858,0.8346222973865574,0.8791072174926788,0.9790098526011414
xyl_D,0.040872671500000006,0.04200202664285714,0.6899948772616324,0.7681942966846175,0.9731118892795333
